Mystery,6
Romance,8
Sport,1
Sci-Fi,12
Family,6
Horror,4
Crime,12
Drama,17
Fantasy,3
Animation,4
Music,1
Adventure,12
Action,21
Comedy,17
War,1
Thriller,20
History,1
